ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-4.6380677076740556e-12,0.0,0.0
XPPT,0.0,-2.3190338538370278e-12,0.0,0.0
HXPRT,0.0,-2.3202262106248033e-12,0.0,0.0
NDPK5,6.957101561511053e-12,0.3957272399796497,0.0,0.3957272399842887
SHK3Dr,146.88682914418172,146.88682914418064,4.323686287039633,146.88682914418243
NDPK6,-0.41853674185222967,-2.310810025399208e-12,-0.41853674185918677,0.0
NDPK8,6.955244846837808e-12,0.4064533362447969,0.0,0.0
DHORTS,-6.186786878506964,-6.186786878509273,-6.186786878509273,-6.186786878509273
OMPDC,6.186786878509275,6.186786878507541,6.186786878509276,6.186786878509276
PYNP2r,6.963613305928771e-12,-4.630010716053722e-12,0.0,0.0
G5SD,3.9402835990932266,3.9402835990886103,3.940283599093277,3.9402835990932785
CS,322.0731532971032,322.0731532970823,43.53861443732812,322.073153296967
ICDHyr,282.2607016230328,322.0731532970822,43.538614437328114,282.2607016229028
ALATA_L2,0.0,499.85078714305666,0.0,0.0
DURIPP,8.3335461166529e-13,-1.3513723489035178e-11,0.0,0.0
ACALD,3.775740718599999e-12,1000.0,1.0225418657315545e-16,0.0
PTRCTA,0.0,-3.659059987614048e-11,0.0,0.0
ACS,0.0,-7.318119975228286e-11,0.0,0.0
CYSDS,0.0,-7.318119975228257e-11,0.0,0.0
MAN6PI,1.258580239533388e-12,0.0,0.0,0.0
PPA,615.8916490747224,615.8916490746536,45.639077646155734,615.8916490746512
APRAUR,0.0073883799493753765,0.0073883799455298545,0.00738837994937138,0.0073883799493729115
TRPAS2,-0.5056345459659524,-0.5056345460393052,-0.5056345459661241,-0.5056345459661241
PPCK,0.0,-7.318119975228246e-11,0.0,0.0
ME1,0.0,-7.318119975228158e-11,0.0,0.0
DB4PS,0.014776759898750755,0.014776759891059713,0.01477675989874276,0.014776759898745823
ALAR,0.6904987736542297,573.9771026779666,0.6904987736542297,0.6904987736542296
RBFK,0.003694189974690748,0.0036941899840019854,0.003694189974684628,0.0036941899746861582
ALATA_L,-1000.0,978.5109783980671,-14.47117629322361,-14.471176293225904
XYLK,0.0,7.822214106766683e-11,0.0,0.0
RBK,0.0,7.822214106766667e-11,0.0,0.0
