ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-5.5677462640346514e-11,0.0,0.0
XPPT,0.0,-2.7838731320173263e-11,0.0,0.0
HXPRT,0.0,-2.783873132017325e-11,0.0,0.0
NDPK5,8.351619396051801e-11,0.0849319548459831,0.0,0.0
SHK3Dr,0.9279601996415514,0.9279601996336911,0.9279601996415269,0.9279601996414765
NDPK6,-0.08982738625974383,-2.7839222945904096e-11,-0.08982738634326004,0.0
NDPK8,8.3516193960518e-11,0.08723401604298793,0.0,0.0
DHORTS,-1.3278234371596123,-1.3278234371744593,-1.3278234371744593,-1.3278234371744588
OMPDC,1.3278234371744597,1.3278234371596123,1.3278234371744595,1.3278234371744593
PYNP2r,8.351619396051793e-11,-5.5678983341708534e-11,0.0,0.0
G5SD,0.845673370479969,0.84567337042429,0.845673370479969,0.845673370479969
CS,43.57150095701034,43.57506880940195,14.590431004606065,43.57506880951457
ICDHyr,3.100833205081959,43.575068809402865,14.590431004606069,43.57506880951458
ALATA_L2,0.0,0.0589496843821002,0.0,0.0
DURIPP,5.272780972737018e-11,-8.280710700577461e-11,0.0,0.0
ACALD,5.272780972737018e-11,738.8297670206784,0.0,-2.3218793463737017e-17
PTRCTA,0.0,-2.3500195256842006e-11,0.0,0.0
ACS,0.0,-4.700039051368386e-11,0.0,0.0
CYSDS,333.3023046683172,333.302304668229,0.0,333.302304668229
MAN6PI,1.4060787049360033e-11,0.0,0.0,0.0
PPA,630.6697169577074,630.6697169576411,9.795171247953384,630.6697169576807
APRAUR,0.0015857123014204639,0.001585712299586121,0.001585712301421551,0.0015857123014836
TRPAS2,-0.10852053157057692,-0.10852053161990799,-0.1085205315720622,-0.1085205315720622
PPCK,0.0,-4.78457683894429e-11,0.0,0.0
ME1,0.0,-4.7845768389444027e-11,0.0,0.0
DB4PS,0.0031714246028409277,0.0031714245991722426,0.0031714246028431018,0.0031714246029672004
ALAR,0.14819654741674004,451.80062724379053,0.14819654741674707,0.14819654741674707
RBFK,0.0007928561507094948,0.0007928561037958737,0.000792856150710582,0.0007928561507726313
ALATA_L,-1000.0,906.6916095861195,-3.105839496810931,-91.80220316962868
XYLK,0.0,0.0,0.0,0.0
RBK,0.0,5.3515366450805046e-11,0.0,0.0
